fg;Classe_Tarif;anseqta;cgeo;tedpahs;tedpcahs;tehhs;thhs;tnn1;tnn2;tnn3;tpoi;tpoii;tpoiii;tpoiv;tpov;tpovi;tpovii;tpoviii;tpoix;tpoa;trea;trep;tsc;tsi;tcaishyp;trdt5_9610;trdt6_9611;trdt7_9612;taph_9615;tprot_9619;tict_9620;tcyb_9621;trconf_9622;trconf_9623;trconf_9625;ttciea_9631;ttcies_9632;taie_9633;tgam_6523;tdip;trap;tant;sdc
10;3;2007;1.07;416.09304;389.89944;406.98306;374.04846;304.95321;457.425;914.85;7652.961;11625.336;9203.391;10714.338;0;0;0;0;0;0;807.14808;914.85;269.05257;404.05554;116.25336;534.1761;179.5032;150.58431;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;4;2008;1.07;424.41;397.7;408.2;375.17;306.47;459.71;919.42;7283;10251;8429;11182;402;402;513;482;603;0;811.18;919.42;270.39;406.08;116.83;536.84;180.4;151.33;0;1046.32;804;0;0;0;0;0;0;0;0;0;0;0;0
11;1;2009;1.07;423.19;396.55;673.79;349.12;307.66;461.49;922.98;7321.15;10304.36;8472.81;11239.83;404.09;404.09;515.22;484.91;606.14;0;814.32;922.98;326.12;407.65;111.49;512.97;160.18;130.96;1271.83;1007.34;774.04;1925.48;0;0;0;0;0;0;6739.18;0;0;0;0
11;2;2010;1.07;417.86;391.56;653;338.75;307.66;461.49;922.98;7321.15;10304.36;8472.81;11239.83;404.09;404.09;515.22;484.91;606.14;0;814.32;922.98;326.12;407.65;222.89;520.43;153.09;123.68;1341.61;1021.98;785.29;1953.47;158.45;0;0;0;0;0;6489.18;45;0;0;0
11;3;2011;1.07;417.86;391.56;536.48;338.75;307.66;461.49;922.98;7321.15;10304.36;8472.81;11239.83;404.09;404.09;515.22;484.91;606.14;0;814.32;922.98;326.12;407.65;221.53;586.04;0;0;1333.41;1015.72;780.48;1590.2;182.29;0;449.07;172.09;137.67;84.48;6480.28;45;0;0;0
11;4;2012;1.07;418.53;392.19;537.34;339.29;308.15;462.23;924.46;7332.86;10320.85;8486.37;11257.81;404.74;404.74;516.04;485.69;607.11;808;815.62;924.46;326.64;408.3;221.88;586.98;0;0;1270.38;1017.35;781.73;1392.42;182.58;787.3;449.79;172.37;137.89;84.62;6490.65;45.07;71;372.02;0
11;5;2013;1.07;423.33;396.69;532.35;333.91;305.5;458.25;916.51;7332.86;10320.85;8486.37;11257.81;404.74;404.74;516.04;485.69;607.11;808;808.61;916.51;323.83;404.79;285.96;581.53;0;0;1258.59;1007.91;774.47;1379.5;180.89;779.99;445.62;170.77;136.61;83.83;6430.41;44.68;70.39;368.82;0
11;6;2014;1.07;424.29;397.65;543.30;349.59;305.47;458.20;916.42;7332.86;10320.85;8486.37;11257.81;404.74;404.74;516.04;485.69;607.11;808;808.53;916.42;323.80;404.75;286.38;582.38;0;0;1260.89;1009.38;775.60;1381.51;181.15;781.13;446.27;171.02;136.81;83.95;6439.77;44.68;70.38;368.78;0
11;7;2015;1.07;421.4;394.95;539.61;347.21;303.73;455.59;911.2;7332.86;10320.85;8486.37;11257.81;404.74;404.74;516.04;485.69;607.11;808;803.92;911.2;321.95;402.44;284.46;578.42;0;0;1252.32;1002.52;770.33;1372.12;179.92;775.82;443.24;169.86;135.88;83.38;6395.98;44.68;69.98;366.68;0
11;8;2016;1.07;418.24;391.99;535.57;342.71;302.7;454.04;908.1;7332.86;10320.85;8486.37;13600;404.74;404.74;516.04;485.69;607.11;808;801.19;908.1;320.86;401.07;282.33;574.08;0;0;1242.79;995.01;764.56;1361.84;178.57;770.01;420.43;168.59;133.96;82.76;6348.04;44.68;69.74;365.43;0
11;9;2017;1.07;416.84;390.68;533.78;340.33;303.79;455.67;911.37;7332.86;10320.85;8486.37;13600;404.74;404.74;516.04;485.69;607.11;808;804.07;911.37;322.01;402.51;279.89;569.73;0;0;1233.38;987.48;758.77;1351.53;177.13;764.18;395.95;167.26;132.46;82.13;6299.98;44.84;69.99;366.74;13445.19
11;10;2018;1.07;415.04;388.99;531.47;334.23;303.79;455.67;911.37;7332.86;10320.85;8486.37;13600;404.74;404.74;516.04;485.69;607.11;808;804.07;911.37;322.01;402.51;278.68;567.27;0;0;1228.05;983.22;755.49;1345.69;176.37;760.88;373.21;166.54;131.89;81.78;5634.12;44.84;69.99;366.74;13445.19
11;11;2019;1.07;415.41;389.34;531.94;325.52;304.28;456.4;912.83;7344.59;10337.36;8499.95;13621.76;405.39;405.39;516.87;486.47;608.08;809.29;805.36;912.83;322.53;403.15;278.93;567.78;0;0;1229.14;984.1;756.16;1346.89;176.53;761.56;373.54;166.69;132.01;81.85;5647.86;44.91;69.99;367.33;13466.7
11;12;2020;1.07;416.39;390.26;533.2;322.04;304.98;457.45;914.93;7361.48;10361.14;8519.50;13653.09;406.32;406.32;518.06;487.59;609.48;811.15;807.21;914.93;323.27;404.08;279.59;569.12;0;0;1232.05;986.43;757.95;1350.07;176.95;763.36;374.42;167.08;132.32;82.04;5661.21;45.01;70.26;368.17;13497.67
11;13;2021;1.07;450.55;422.32;577.17;348.54;330.18;495.24;990.51;7833.13;11024.98;9065.35;14527.84;432.35;432.35;551.25;518.83;648.53;863.12;873.9;990.51;349.98;437.46;300.42;616.13;0;0;1333.37;1067.91;820.56;1461.59;191.54;821.41;405.29;180.85;143.23;87.54;6126.36;48.73;76.06;398.59;14612.74
