GHS-NRO;CMD-COD;DCS-MCO;GHM-NRO;GHS-LIB;SEU-BAS;SEU-HAU;GHS-PRI;EXB-FORFAIT;EXB-JOURNALIER;EXH-PRI;DATE-EFFET
0022;01;C;01C031;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 1;0;11;3451,36;0;0;102,08;01/03/2019
0023;01;C;01C032;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 2;0;19;6128,34;0;0;84,35;01/03/2019
0024;01;C;01C033;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 3;0;64;11058,44;0;0;65,45;01/03/2019
0025;01;C;01C034;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 4;12;124;14985,71;0;374,03;277,61;01/03/2019
0026;01;C;01C041;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 1;0;12;5407,74;0;0;125,19;01/03/2019
0027;01;C;01C042;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 2;0;20;9017,6;0;0;94,50;01/03/2019
0028;01;C;01C043;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 3;0;43;13020,04;0;0;65,01;01/03/2019
0029;01;C;01C044;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 4;12;105;17050,13;0;383,82;338,72;01/03/2019
0030;01;C;01C051;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 1;0;10;4625,58;0;0;138,59;01/03/2019
0031;01;C;01C052;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 2;0;17;7222,54;0;0;114,31;01/03/2019
0032;01;C;01C053;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 3;0;40;11572,76;0;0;75,19;01/03/2019
0033;01;C;01C054;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 4;14;84;14881,2;0;245,07;351,02;01/03/2019
0034;01;C;01C061;Interventions sur le système vasculaire précérébral, niveau 1;0;8;4729,75;0;0;132,68;01/03/2019
0035;01;C;01C062;Interventions sur le système vasculaire précérébral, niveau 2;0;15;6465,1;0;0;119,01;01/03/2019
0036;01;C;01C063;Interventions sur le système vasculaire précérébral, niveau 3;0;33;9480,38;0;0;97,71;01/03/2019
0037;01;C;01C064;Interventions sur le système vasculaire précérébral, niveau 4;7;74;13486,68;0;1335,43;377,46;01/03/2019
0038;01;C;01C081;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 1;0;5;2360,41;0;0;93,88;01/03/2019
0039;01;C;01C082;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 2;0;14;4736,78;0;0;81,53;01/03/2019
0040;01;C;01C083;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 3;0;60;8878,6;0;0;76,52;01/03/2019
0041;01;C;01C084;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 4;14;138;14846,99;0;442,1;229,52;01/03/2019
0042;01;C;01C08J;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, en ambulatoire;0;0;2360,41;0;0;0,00;01/03/2019
0043;01;C;01C091;Pose d'un stimulateur cérébral, niveau 1;0;17;6729,3;0;0;213,53;01/03/2019
0044;01;C;01C092;Pose d'un stimulateur cérébral, niveau 2;0;39;11426,88;0;0;666,18;01/03/2019
0045;01;C;01C093;Pose d'un stimulateur cérébral, niveau 3;0;0;17574,2;0;0;0,00;01/03/2019
0046;01;C;01C094;Pose d'un stimulateur cérébral, niveau 4;0;0;22342,96;0;0;0,00;01/03/2019
0047;01;C;01C101;Pose d'un stimulateur médullaire, niveau 1;0;6;1923,64;0;0;499,39;01/03/2019
0048;01;C;01C102;Pose d'un stimulateur médullaire, niveau 2;0;10;4083,35;0;0;574,70;01/03/2019
0049;01;C;01C103;Pose d'un stimulateur médullaire, niveau 3;0;0;8358,51;0;0;0,00;01/03/2019
0050;01;C;01C104;Pose d'un stimulateur médullaire, niveau 4;0;0;10626,61;0;0;0,00;01/03/2019
0051;01;C;01C111;Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 1;0;10;6854,32;0;0;131,85;01/03/2019
0052;01;C;01C112;Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 2;0;13;9347,5;0;0;82,60;01/03/2019
0053;01;C;01C113;Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 3;0;39;11495,12;0;0;92,93;01/03/2019
0054;01;C;01C114;Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 4;6;60;13446,58;0;1300,97;483,01;01/03/2019
0055;01;C;01C121;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 1;0;10;4810,18;0;0;92,17;01/03/2019
0056;01;C;01C122;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 2;0;27;7737,62;0;0;64,12;01/03/2019
0057;01;C;01C123;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 3;0;45;8891,87;0;0;73,96;01/03/2019
0058;01;C;01C124;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 4;15;92;12368,4;0;231,77;354,96;01/03/2019
0065;01;C;01C041;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 1;0;12;11950,27;0;0;125,19;01/03/2019
0066;01;C;01C042;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 2;0;20;15560,14;0;0;94,50;01/03/2019
0067;01;C;01C043;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 3;0;43;19562,58;0;0;65,01;01/03/2019
0068;01;C;01C044;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 4;12;105;23592,66;0;383,82;468,69;01/03/2019
0069;01;C;01C121;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 1;0;10;11354,73;0;0;92,17;01/03/2019
0070;01;C;01C122;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 2;0;27;14282,17;0;0;64,12;01/03/2019
0071;01;C;01C123;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 3;0;45;15436,43;0;0;73,96;01/03/2019
0072;01;C;01C124;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 4;15;92;18912,95;0;231,77;542,79;01/03/2019
0073;01;C;01C10J;Pose d'un stimulateur médullaire, en ambulatoire;0;0;1923,64;0;0;0,00;01/03/2019
0074;01;C;01C141;Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 1;0;3;935,4;0;0;223,10;01/03/2019
0075;01;C;01C142;Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 2;0;12;2943,33;0;0;378,77;01/03/2019
0076;01;C;01C143;Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 3;0;0;3678,4;0;0;0,00;01/03/2019
0077;01;C;01C144;Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 4;0;0;4335,58;0;0;0,00;01/03/2019
0078;01;C;01C14J;Libérations de nerfs superficiels à l'exception du médian au canal carpien, en ambulatoire;0;0;935,4;0;0;0,00;01/03/2019
0079;01;C;01C151;Libérations du médian au canal carpien, niveau 1;0;3;936,91;0;0;198,62;01/03/2019
0080;01;C;01C152;Libérations du médian au canal carpien, niveau 2;0;11;2525,81;0;0;335,54;01/03/2019
0081;01;C;01C153;Libérations du médian au canal carpien, niveau 3;0;0;3418,44;0;0;0,00;01/03/2019
0082;01;C;01C154;Libérations du médian au canal carpien, niveau 4;0;0;7341,98;0;0;0,00;01/03/2019
0083;01;C;01C15J;Libérations du médian au canal carpien, en ambulatoire;0;0;936,91;0;0;0,00;01/03/2019
0084;05;C;05C211;Créations et réfections de fistules artérioveineuses pour affections de la CMD 05, niveau 1;0;3;1735,88;0;0;164,32;01/03/2019
0084;11;C;11C091;Créations et réfections de fistules artérioveineuses pour affections de la CMD 11, niveau 1;0;3;1735,88;0;0;164,32;01/03/2019
0085;05;C;05C212;Créations et réfections de fistules artérioveineuses pour affections de la CMD 05, niveau 2;0;16;5285,74;0;0;140,75;01/03/2019
0085;11;C;11C092;Créations et réfections de fistules artérioveineuses pour affections de la CMD 11, niveau 2;0;16;5285,74;0;0;140,75;01/03/2019
0086;05;C;05C213;Créations et réfections de fistules artérioveineuses pour affections de la CMD 05, niveau 3;0;42;9690,26;0;0;118,84;01/03/2019
0086;11;C;11C093;Créations et réfections de fistules artérioveineuses pour affections de la CMD 11, niveau 3;0;42;9690,26;0;0;118,84;01/03/2019
