GHS-NRO;CMD-COD;DCS-MCO;GHM-NRO;GHS-LIB;SEU-BAS;SEU-HAU;GHS-PRI;EXB-FORFAIT;EXB-JOURNALIER;EXH-PRI;DAT-EFFET
22;1;C;01C031;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 1;4;19;3730,63;0;322,07;115,49;01/03/2011
23;1;C;01C032;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 2;7;38;8375,28;4644,65;0;86,99;01/03/2011
24;1;C;01C033;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 3;7;79;12726,84;4351,56;0;69,56;01/03/2011
25;1;C;01C034;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 4;12;124;15857;3130,16;0;239,68;01/03/2011
26;1;C;01C041;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 1;3;19;5720,3;0;860,67;142,31;01/03/2011
27;1;C;01C042;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 2;7;39;10736,56;5016,26;0;109,43;01/03/2011
28;1;C;01C043;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 3;7;66;14491,57;3755,01;0;88,9;01/03/2011
29;1;C;01C044;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 4;12;105;17958,73;3467,16;0;320,51;01/03/2011
30;1;C;01C051;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 1;3;16;5095,63;0;1135,67;144,84;01/03/2011
31;1;C;01C052;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 2;5;30;8236,53;3140,9;0;113,04;01/03/2011
32;1;C;01C053;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 3;6;65;12192,8;3956,27;0;204,35;01/03/2011
33;1;C;01C054;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 4;14;84;16075,46;3882,66;0;355,68;01/03/2011
34;1;C;01C061;Interventions sur le système vasculaire précérébral, niveau 1;3;13;4903,4;0;978,29;149,31;01/03/2011
35;1;C;01C062;Interventions sur le système vasculaire précérébral, niveau 2;4;22;6869,1;1965,7;0;137,35;01/03/2011
36;1;C;01C063;Interventions sur le système vasculaire précérébral, niveau 3;5;41;10065,6;3196,5;0;119,57;01/03/2011
37;1;C;01C064;Interventions sur le système vasculaire précérébral, niveau 4;7;74;14011,42;3945,82;0;353,01;01/03/2011
38;1;C;01C081;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 1;0;6;2628,93;0;0;79,65;01/03/2011
39;1;C;01C082;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 2;5;40;7014,91;4385,98;0;66,49;01/03/2011
40;1;C;01C083;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 3;4;81;9741,08;2726,17;0;66,99;01/03/2011
41;1;C;01C084;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 4;14;138;13559,29;3818,21;0;183,75;01/03/2011
42;1;C;01C08J;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, en ambulatoire;0;0;1447,26;0;0;0;01/03/2011
