GHS-NRO;CMD-COD;DCS-MCO;GHM-NRO;GHS-LIB;SEU-BAS;SEU-HAU;GHS-PRI;EXB-FORFAIT;EXB-JOURNALIER;EXH-PRI;DATE-EFFET
22;1;C;01C031;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 1;0;16;3530,71;0;0;111,52;01/03/2016
23;1;C;01C032;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 2;5;26;7186,8;3656,09;0;85,59;01/03/2016
24;1;C;01C033;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 3;5;62;11761,31;4574,51;0;61,52;01/03/2016
25;1;C;01C034;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 4;12;124;15575,21;3813,9;0;235,43;01/03/2016
26;1;C;01C041;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 1;0;19;5511,36;0;0;140,97;01/03/2016
27;1;C;01C042;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 2;5;29;9644,1;4132,74;0;105,14;01/03/2016
28;1;C;01C043;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 3;6;49;13858,5;4214,4;0;67,43;01/03/2016
29;1;C;01C044;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 4;12;105;17634,77;3776,27;0;314,72;01/03/2016
30;1;C;01C051;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 1;0;16;4854,08;0;0;156,85;01/03/2016
31;1;C;01C052;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 2;5;30;8052,02;3197,94;0;138,29;01/03/2016
32;1;C;01C053;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 3;7;40;12211,97;4159,95;0;75,16;01/03/2016
33;1;C;01C054;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 4;14;84;15519,22;3307,25;0;343,38;01/03/2016
34;1;C;01C061;Interventions sur le système vasculaire précérébral, niveau 1;0;13;4820,63;0;0;147,04;01/03/2016
35;1;C;01C062;Interventions sur le système vasculaire précérébral, niveau 2;4;22;6784,48;1963,85;0;134,72;01/03/2016
36;1;C;01C063;Interventions sur le système vasculaire précérébral, niveau 3;5;41;9910,97;3126,49;0;117,54;01/03/2016
