GHS-NRO;GHM-NRO;SEU-BAS;SEU-HAU;GHS-PRI;EXB-FORFAIT;EXB-JOURNALIER;EXH-PRI;CMD-COD;DCS-MCO;GHS-LIB;DATE-EFFET
22;01C031;0;11;3461,25;0;0;102,35;;;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 1;01/03/2017
23;01C032;0;19;6355,55;0;0;82,59;;;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 2;01/03/2017
24;01C033;0;64;11252,83;0;0;62,91;;;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 3;01/03/2017
25;01C034;12;124;15027,17;0;359,46;278,38;;;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 4;01/03/2017
26;01C041;0;12;5425,48;0;0;125,55;;;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 1;01/03/2017
27;01C042;0;20;9047,19;0;0;94,76;;;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 2;01/03/2017
28;01C043;0;43;13259,85;0;0;61,96;;;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 3;01/03/2017
29;01C044;12;105;17101,58;0;365,88;339,74;;;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 4;01/03/2017
30;01C051;0;10;4789,64;0;0;136,95;;;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 1;01/03/2017
31;01C052;0;17;7407,17;0;0;112,19;;;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 2;01/03/2017
32;01C053;7;40;11730,47;0;960,73;72,57;;;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 3;01/03/2017
33;01C054;14;84;14923,69;0;236,53;352,02;;;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 4;01/03/2017
34;01C061;0;8;4745,57;0;0;133,02;;;Interventions sur le système vasculaire précérébral, niveau 1;01/03/2017
35;01C062;0;15;6486,05;0;0;119,3;;;Interventions sur le système vasculaire précérébral, niveau 2;01/03/2017
36;01C063;0;33;9512,1;0;0;97,88;;;Interventions sur le système vasculaire précérébral, niveau 3;01/03/2017
37;01C064;7;74;13525;0;1337,63;378,53;;;Interventions sur le système vasculaire précérébral, niveau 4;01/03/2017
38;01C081;0;5;2367,65;0;0;94,14;;;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 1;01/03/2017
39;01C082;0;14;4750,65;0;0;81,75;;;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 2;01/03/2017
40;01C083;0;60;8905,85;0;0;76,69;;;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 3;01/03/2017
41;01C084;14;138;14887,65;0;443,1;230,15;;;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, niveau 4;01/03/2017
42;01C08J;0;0;2367,65;0;0;0;;;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, en ambulatoire;01/03/2017
43;01C091;0;17;7317,98;0;0;197,24;;;Pose d'un stimulateur cérébral, niveau 1;01/03/2017
44;01C092;6;39;11657,31;0;964,3;679,61;;;Pose d'un stimulateur cérébral, niveau 2;01/03/2017
45;01C093;0;0;17631,61;0;0;0;;;Pose d'un stimulateur cérébral, niveau 3;01/03/2017
46;01C094;0;0;22415,95;0;0;0;;;Pose d'un stimulateur cérébral, niveau 4;01/03/2017
47;01C101;0;6;1929,1;0;0;500,8;;;Pose d'un stimulateur médullaire, niveau 1;01/03/2017
48;01C102;0;10;4221,91;0;0;594,2;;;Pose d'un stimulateur médullaire, niveau 2;01/03/2017
49;01C103;0;0;8382,23;0;0;0;;;Pose d'un stimulateur médullaire, niveau 3;01/03/2017
50;01C104;0;0;10656,77;0;0;0;;;Pose d'un stimulateur médullaire, niveau 4;01/03/2017
51;01C111;0;10;6876,45;0;0;132,18;;;Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 1;01/03/2017
52;01C112;0;13;9377,67;0;0;82,87;;;Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 2;01/03/2017
